listIndex,targetUrl,found,matchCount,domIndex,linkText,href,xpath,target,rel
0,https://www.docthub.com/,NO,0,,,,,,
1,,NO,0,,,,,,
2,,NO,0,,,,,,
3,https://jobs.docthub.com/,YES,2,0,Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[1],,
3,https://jobs.docthub.com/,YES,2,36,Find Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[1],_blank,noopener noreferrer
4,https://courses.docthub.com/,YES,3,1,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[2],,
4,https://courses.docthub.com/,YES,3,28,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[5]/div[1]/div[3]/div[1]/div[1]/a[1],_blank,noopener noreferrer
4,https://courses.docthub.com/,YES,3,37,Search Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[2],_blank,noopener noreferrer
5,https://events.docthub.com/,YES,3,2,Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[3],,
5,https://events.docthub.com/,YES,3,13,Upcoming Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[1],,
5,https://events.docthub.com/,YES,3,38,Explore Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[3],_blank,noopener noreferrer
6,https://jobs.docthub.com/browse-jobs,YES,1,3,Browse Jobs,https://jobs.docthub.com/browse-jobs,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[2]/a[1],,
7,https://jobs.docthub.com/all-jobs?pageNumber=1&pageSize=50&isFacet=true&categories=4,YES,1,4,Faculty Jobs,https://jobs.docthub.com/all-jobs?pageNumber=1&pageSize=50&isFacet=true&categories=4,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[2]/a[2],,
8,https://jobs.docthub.com/top-healthcare-companies,YES,1,5,Recruiter Connect,https://jobs.docthub.com/top-healthcare-companies,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[2]/a[3],,
9,https://www.docthub.com/resume-builder,YES,3,6,Professional Resume,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[2]/a[4],,
9,https://www.docthub.com/resume-builder,YES,3,11,Professional Resume,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[2]/a[4],,
9,https://www.docthub.com/resume-builder,YES,3,21,Resume Builder,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/div[3]/div[2]/a[2],,
10,https://www.docthub.com/healthcare-career-app,YES,4,7,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[3]/a[1],,
10,https://www.docthub.com/healthcare-career-app,YES,4,12,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[3]/a[1],,
10,https://www.docthub.com/healthcare-career-app,YES,4,19,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[3]/a[1],,
10,https://www.docthub.com/healthcare-career-app,YES,4,22,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/div[3]/div[3]/a[1],,
11,https://courses.docthub.com/browse-healthcare-courses,YES,1,8,Browse Courses,https://courses.docthub.com/browse-healthcare-courses,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[2]/a[1],,
12,https://courses.docthub.com/all-courses?pageNumber=1&pageSize=10&isFacet=true&route=&qualifications=153&qualifications=496&qualifications=1079&qualifications=1127,YES,1,9,After 12th,https://courses.docthub.com/all-courses?pageNumber=1&pageSize=10&isFacet=true&route=&qualifications=153&qualifications=496&qualifications=1079&qualifications=1127,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[2]/a[2],,
13,https://courses.docthub.com/fellowships?pageNumber=1&pageSize=10&isFacet=true,YES,1,10,Fellowships,https://courses.docthub.com/fellowships?pageNumber=1&pageSize=10&isFacet=true,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[2]/a[3],,
14,https://www.docthub.com/resume-builder,YES,3,6,Professional Resume,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[2]/a[4],,
14,https://www.docthub.com/resume-builder,YES,3,11,Professional Resume,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[2]/a[4],,
14,https://www.docthub.com/resume-builder,YES,3,21,Resume Builder,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/div[3]/div[2]/a[2],,
15,https://www.docthub.com/healthcare-career-app,YES,4,7,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[3]/a[1],,
15,https://www.docthub.com/healthcare-career-app,YES,4,12,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[3]/a[1],,
15,https://www.docthub.com/healthcare-career-app,YES,4,19,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[3]/a[1],,
15,https://www.docthub.com/healthcare-career-app,YES,4,22,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/div[3]/div[3]/a[1],,
16,https://events.docthub.com/,YES,3,2,Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[3],,
16,https://events.docthub.com/,YES,3,13,Upcoming Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[1],,
16,https://events.docthub.com/,YES,3,38,Explore Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[3],_blank,noopener noreferrer
17,https://events.docthub.com/meet-ups,YES,1,14,Meet-ups,https://events.docthub.com/meet-ups,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[2],,
18,https://events.docthub.com/conference,YES,1,15,National Conferences,https://events.docthub.com/conference,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[3],,
19,https://events.docthub.com/workshop,YES,1,16,Workshops,https://events.docthub.com/workshop,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[4],,
20,https://events.docthub.com/continuing-medical-education-cme,YES,1,17,CME,https://events.docthub.com/continuing-medical-education-cme,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[5],,
21,https://events.docthub.com/webinar,YES,1,18,Webinars,https://events.docthub.com/webinar,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[6],,
22,https://www.docthub.com/healthcare-career-app,YES,4,7,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[3]/a[1],,
22,https://www.docthub.com/healthcare-career-app,YES,4,12,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[3]/a[1],,
22,https://www.docthub.com/healthcare-career-app,YES,4,19,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[3]/a[1],,
22,https://www.docthub.com/healthcare-career-app,YES,4,22,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/div[3]/div[3]/a[1],,
23,https://www.docthub.com/logbook,YES,1,20,Logbook,https://www.docthub.com/logbook,/html[1]/body[1]/div[3]/div[3]/div[2]/a[1],,
24,https://www.docthub.com/resume-builder,YES,3,6,Professional Resume,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[2]/a[4],,
24,https://www.docthub.com/resume-builder,YES,3,11,Professional Resume,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[2]/a[4],,
24,https://www.docthub.com/resume-builder,YES,3,21,Resume Builder,https://www.docthub.com/resume-builder,/html[1]/body[1]/div[3]/div[3]/div[2]/a[2],,
25,https://www.docthub.com/healthcare-career-app,YES,4,7,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[1]/div[3]/div[1]/div[3]/a[1],,
25,https://www.docthub.com/healthcare-career-app,YES,4,12,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[2]/div[3]/div[1]/div[3]/a[1],,
25,https://www.docthub.com/healthcare-career-app,YES,4,19,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[3]/a[1],,
25,https://www.docthub.com/healthcare-career-app,YES,4,22,Get Docthub App,https://www.docthub.com/healthcare-career-app,/html[1]/body[1]/div[3]/div[3]/div[3]/a[1],,
26,https://www.docthub.com/recruiter,YES,1,23,Post a Job,https://www.docthub.com/recruiter,/html[1]/body[1]/div[3]/div[4]/div[1]/div[1]/a[1],,
27,https://www.docthub.com/institute,YES,1,24,List a Course,https://www.docthub.com/institute,/html[1]/body[1]/div[3]/div[4]/div[1]/div[1]/a[2],,
28,https://www.docthub.com/event-organizer,YES,1,25,Create an Event,https://www.docthub.com/event-organizer,/html[1]/body[1]/div[3]/div[4]/div[1]/div[1]/a[3],,
29,https://www.docthub.com/membership-management,YES,1,26,Membership Management,https://www.docthub.com/membership-management,/html[1]/body[1]/div[3]/div[4]/div[1]/div[1]/a[4],,
30,https://auth.docthub.com/Account/Login?ReturnUrl=%2Fconnect%2Fauthorize%2Fcallback%3Fresponse_type%3Dcode%26scope%3Dopenid%2520profile%2520email%26code_challenge%3D4ULtSAoUUZxLQ1nchb7dC2oJtJ0fPWOQrxi6YbpQ3cQ%26code_challenge_method%3DS256%26redirect_uri%3Dhttps%253A%252F%252Fdev.dochub.in%252F%20api%252Fauth%252Fcallback%252Fdoct-branding%26client_id%3Ddoct.branding.app,YES,1,27,(no text),https://auth.docthub.com/Account/Login?ReturnUrl=%2Fconnect%2Fauthorize%2Fcallback%3Fresponse_type%3Dcode%26scope%3Dopenid%2520profile%2520email%26code_challenge%3D4ULtSAoUUZxLQ1nchb7dC2oJtJ0fPWOQrxi6YbpQ3cQ%26code_challenge_method%3DS256%26redirect_uri%3Dhttps%253A%252F%252Fdev.dochub.in%252F%20api%252Fauth%252Fcallback%252Fdoct-branding%26client_id%3Ddoct.branding.app,/html[1]/body[1]/div[3]/section[4]/div[4]/a[1],,
31,https://courses.docthub.com/,YES,3,1,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[2],,
31,https://courses.docthub.com/,YES,3,28,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[5]/div[1]/div[3]/div[1]/div[1]/a[1],_blank,noopener noreferrer
31,https://courses.docthub.com/,YES,3,37,Search Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[2],_blank,noopener noreferrer
32,https://play.google.com/store/apps/details?id=com.docthub.app,YES,1,29,(no text),https://play.google.com/store/apps/details?id=com.docthub.app,/html[1]/body[1]/div[3]/div[6]/div[1]/div[2]/div[2]/div[5]/a[1],_blank,noopener noreferrer
33,https://apps.apple.com/in/app/docthub-health-career-app/id1625281489,YES,1,30,(no text),https://apps.apple.com/in/app/docthub-health-career-app/id1625281489,/html[1]/body[1]/div[3]/div[6]/div[1]/div[2]/div[2]/div[5]/a[2],_blank,noopener noreferrer
34,https://www.docthub.com/about-us,YES,2,31,Read Full,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[1]/div[1]/div[1]/a[1],,
34,https://www.docthub.com/about-us,YES,2,32,Our Philosophy,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[1],,
35,https://www.docthub.com/about-us,YES,2,31,Read Full,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[1]/div[1]/div[1]/a[1],,
35,https://www.docthub.com/about-us,YES,2,32,Our Philosophy,https://www.docthub.com/about-us,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[1],,
36,https://www.docthub.com/media-releases,YES,1,33,Media Release,https://www.docthub.com/media-releases,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[2],,
37,https://www.docthub.com/media-releases/company-milestones?id=1&type=category,YES,1,34,Company Milestones,https://www.docthub.com/media-releases/company-milestones?id=1&type=category,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[3],,
38,https://www.docthub.com/media-releases/news-coverage?id=6&type=category,YES,1,35,News Coverage,https://www.docthub.com/media-releases/news-coverage?id=6&type=category,/html[1]/body[1]/div[3]/div[8]/div[1]/div[2]/a[4],,
39,https://jobs.docthub.com/,YES,2,0,Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[1],,
39,https://jobs.docthub.com/,YES,2,36,Find Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[1],_blank,noopener noreferrer
40,https://courses.docthub.com/,YES,3,1,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[2],,
40,https://courses.docthub.com/,YES,3,28,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[5]/div[1]/div[3]/div[1]/div[1]/a[1],_blank,noopener noreferrer
40,https://courses.docthub.com/,YES,3,37,Search Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[2],_blank,noopener noreferrer
41,https://events.docthub.com/,YES,3,2,Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[3],,
41,https://events.docthub.com/,YES,3,13,Upcoming Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[1],,
41,https://events.docthub.com/,YES,3,38,Explore Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[3],_blank,noopener noreferrer
42,,NO,0,,,,,,
43,https://www.docthub.com/enterprise-solutions,YES,1,39,Docthub for Business,https://www.docthub.com/enterprise-solutions,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[5],_blank,noopener noreferrer
44,https://www.facebook.com/docthub/,NO,0,,,,,,
45,https://twitter.com/docthub,NO,0,,,,,,
46,https://www.linkedin.com/company/docthub2017/,NO,0,,,,,,
47,https://www.instagram.com/docthub/,NO,0,,,,,,
48,https://www.youtube.com/c/Docthub1/videos,NO,0,,,,,,
49,https://play.google.com/store/search?q=docthub&c=apps&hl=en,NO,0,,,,,,
50,https://apps.apple.com/in/app/docthub-healthcare-career-app/id1625281489,NO,0,,,,,,
51,https://jobs.docthub.com/,YES,2,0,Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[1],,
51,https://jobs.docthub.com/,YES,2,36,Find Jobs,https://jobs.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[1],_blank,noopener noreferrer
52,https://courses.docthub.com/,YES,3,1,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[2],,
52,https://courses.docthub.com/,YES,3,28,Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/div[5]/div[1]/div[3]/div[1]/div[1]/a[1],_blank,noopener noreferrer
52,https://courses.docthub.com/,YES,3,37,Search Courses,https://courses.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[2],_blank,noopener noreferrer
53,https://events.docthub.com/,YES,3,2,Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/div[1]/div[2]/div[1]/a[3],,
53,https://events.docthub.com/,YES,3,13,Upcoming Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[3]/div[2]/div[1]/div[2]/a[1],,
53,https://events.docthub.com/,YES,3,38,Explore Events,https://events.docthub.com/,/html[1]/body[1]/div[3]/section[9]/div[1]/div[1]/div[2]/a[3],_blank,noopener noreferrer
54,https://docthub.com/healthcare-career-app,NO,0,,,,,,
55,https://jobs.docthub.com/drop-your-resume,NO,0,,,,,,
56,https://docthub.com/explore-courses-after-12th,NO,0,,,,,,
57,https://docthub.com/logbook,NO,0,,,,,,
58,https://docthub.com/resume-builder,NO,0,,,,,,
59,https://docthub.com/healthcare-career-app,NO,0,,,,,,
60,https://news.docthub.com/,NO,0,,,,,,
61,https://docthub.com/course-pages,NO,0,,,,,,
62,https://docthub.com/jobrole-pages,NO,0,,,,,,
63,https://docthub.com/recruiter,NO,0,,,,,,
64,https://docthub.com/institute,NO,0,,,,,,
65,https://docthub.com/event-organizer,NO,0,,,,,,
66,https://docthub.com/membership-management,NO,0,,,,,,
67,https://docthub.com/qr-check-in-app,NO,0,,,,,,
68,https://docthub.com/enterprise-solutions,NO,0,,,,,,
69,,NO,0,,,,,,
70,https://enterprise.docthub.com/en/register,NO,0,,,,,,
71,https://docthub.com/about-us,NO,0,,,,,,
72,https://docthub.com/media-releases,NO,0,,,,,,
73,https://blogs.docthub.com/,NO,0,,,,,,
74,https://docthub.com/contact-us,NO,0,,,,,,
75,https://docthub.com/,NO,0,,,,,,
76,https://docthub.com/terms-conditions,NO,0,,,,,,
77,https://docthub.com/privacy-policy,NO,0,,,,,,
78,https://docthub.com/cookies-policy,NO,0,,,,,,
79,https://docthub.com/payment-policy,NO,0,,,,,,
80,https://docthub.com/disclaimer-policy,NO,0,,,,,,
81,https://enterprise.docthub.com/enterprise-terms-conditions,NO,0,,,,,,
82,https://enterprise.docthub.com/enterprise-privacy-policy,NO,0,,,,,,
83,https://enterprise.docthub.com/enterprise-payment-policy,NO,0,,,,,,
